CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
0021U,Lab ,Advanced Laboratory Services,"ONCOLOGY (PROSTATE), DETECTION OF 8 AUTOANTIBODIES (ARF 6, NKX3-1, 5'-UTR-BMI1, CEP 164, 3'-UTR-ROPPORIN, DESMOCOLLIN, AURKAIP-1, CSNK2A2), MULTIPLEXED IMMUNOASSAY AND FLOW CYTOMETRY SERUM, ALGORITHM REPORTED AS RISK SCORE",,,,,
00220,Anesthesiology,Anesthesia,ANESTHESIA FOR INTRACRANIAL PROCEDURES; CEREBROSPINAL FLUID SHUNTING PROCEDURES,,,,,
00222,Anesthesiology,Anesthesia,ANESTHESIA FOR INTRACRANIAL PROCEDURES; ELECTROCOAGULATION OF INTRACRANIAL NERVE,,,,,
0022A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, DNA, SPIKE PROTEIN, CHIMPANZEE ADENOVIRUS OXFORD 1 (CHADOX1) VECTOR, PRESERVATIVE FREE, 5X1010",,,,,
0022U,Lab ,Advanced Laboratory Services,"TARGETED GENOMIC SEQUENCE ANALYSIS PANEL, NON-SMALL CELL LUNG NEOPLASIA, DNA AND RNA ANALYSIS, 23 GENES, INTERROGATION FOR SEQUENCE VARIANTS AND REARRANGEMENTS, REPORTED AS PRESENCE/ABSENCE OF VARIANTS AND ASSOCIATED THERAPY(IES) TO CONSIDER",,,,,
0023A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0023T,Lab ,Advanced Laboratory Services,"(CODE DELETED IN 2006. TO REPORT, USE 87900) INFECTIOUS AGENT DRUG SUSCEPTIBILITY PHENOTYPE PREDICTION USING GENOTYPIC COMPARISON TO KNOWN GENOTYPIC/PHENOTYPIC DATABASE,HIV 1 (CPT CATEGORY III CODE)",,,,,
0023U,Lab ,Advanced Laboratory Services,"ONCOLOGY (ACUTE MYELOGENOUS LEUKEMIA), DNA, GENOTYPING OF INTERNAL TANDEM DUPLICATION, P.D835, P.I836, USING MONONUCLEAR CELLS, REPORTED AS DETECTION OR NON-DETECTION OF FLT3 MUTATION AND INDICATION FOR OR AGAINST THE USE OF MIDOSTAURIN",,,,,
0024A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0024T,Cardiology,Cardiac Procedures,"NON-SURGICAL SEPTAL REDUCTION THERAPY (EG, ALCOHOL ABLATION), FOR HYPERTROPHIC OBSTRUCTIVE CARDIOMYOPATHY; WITHCORONARY ARTERIOGRAMS, WITH OR WITHOUT TEMPORARY PACEMAKER (CPT CATEGORY III CODE)",,,,,
0024U,Lab ,Routine Lab and Pathology Services,"GLYCOSYLATED ACUTE PHASE PROTEINS (GLYCA), NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY, QUANTITATIVE",,,,,
0025T,Ophthalmology,Ophthalmology,"(CODE DELETED IN 2004. TO REPORT, USE 76514) DETERMINATION OF CORNEAL THICKNESS (E.G., PACHYMETRY) WITH INTERPRETATION AND REPORT, BILATERAL (CPT CATEGORY III CODE)",,,,,
0025U,Lab ,Routine Lab and Pathology Services,"TENOFOVIR, BY LIQUID CHROMATOGRAPHY WITH TANDEM MASS SPECTROMETRY (LC-MS/MS), URINE, QUANTITATIVE",,,,,
0026T,Lab ,Routine Lab and Pathology Services,"LIPOPROTEIN, DIRECT MEASUREMENT, INTERMEDIATE DENSITY LIPOPROTEINS (IDL) (REMNANT LIPOPROTEINS) (CPT CATEGORY III CODE)",,,,,
0026U,Lab ,Advanced Laboratory Services,"ONCOLOGY (THYROID), DNA AND MRNA OF 112 GENES, NEXT-GENERATION SEQUENCING, FINE NEEDLE ASPIRATE OF THYROID NODULE, ALGORITHMIC ANALYSIS REPORTED AS A CATEGORICAL RESULT (""POSITIVE, HIGH PROBABILITY OF MALIGNANCY"" OR ""NEGATIVE, LOW PROBABILITY OF MALIGNANC",,,,,
0027T,Lab ,Advanced Laboratory Services,"(CODE DELETED IN 2009. FOR ENDOSCOPIC LYSIS OF EPIDURAL ADHESIONS WITH DIRECT VISUALIZATION USING MECHANICAL MEANS OR SOLUTION INJECTION {EG, NORMAL SALINE}, USE 64999) ENDOSCOPIC LYSIS OF EPIDURAL ADHESIONS WITH DIRECT VISUALIZATION USING",,,,,
0027U,Lab ,Advanced Laboratory Services,"JAK2 (JANUS KINASE 2) (EG, MYELOPROLIFERATIVE DISORDER) GENE ANALYSIS, TARGETED SEQUENCE ANALYSIS EXONS 12-15",,,,,
0028T,Imaging Center (Radiology),Routine Radiology Imaging,"DUAL ENERGY X-RAY ABSORPTIOMETRY (DEXA) BODY COMPOSITION STUDY, ONE OR MORE SITES (CPT CATEGORY III CODE)",,,,,
0029T,Urology,Urology,"TREATMENT(S) FOR INCONTINENCE, PULSED MAGNETIC NEUROMODULATION, PER DAY (CPT CATEGORY III CODE)",,,,,
0029U,Lab ,Advanced Laboratory Services,"DRUG METABOLISM (ADVERSE DRUG REACTIONS AND DRUG RESPONSE), TARGETED SEQUENCE ANALYSIS (IE, CYP1A2, CYP2C19, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP4F2, SLCO1B1, VKORC1 AND RS12777823)",,,,,
00300,Anesthesiology,Anesthesia,"ANESTHESIA FOR ALL PROCEDURES ON THE INTEGUMENTARY SYSTEM, MUSCLES AND NERVES OF HEAD, NECK, AND POSTERIOR TRUNK, NOT OTHERWISE SPECIFIED",,,,,
0030T,Lab ,Routine Lab and Pathology Services,"ANTIPROTHROMBIN (PHOSPHOLIPID COFACTOR) ANTIBODY, EACH IG CLASS (CPT CATEGORY III CODE)",,,,,
0030U,Lab ,Advanced Laboratory Services,"DRUG METABOLISM (WARFARIN DRUG RESPONSE), TARGETED SEQUENCE ANALYSIS (IE, CYP2C9, CYP4F2, VKORC1, RS12777823)",,,,,
0031A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, DNA, SPIKE PROTEIN, ADENOVIRUS TYPE 26 (AD26) VECTOR, PRESERVATIVE FREE, 5X1010 VIRAL PARTICLE",,,,,
0031T,Obstetrics/Gynecology,OB/GYN,SPECULOSCOPY; (CPT CATEGORY III CODE),,,,,
0031U,Lab ,Advanced Laboratory Services,"CYP1A2 (CYTOCHROME P450 FAMILY 1, SUBFAMILY A, MEMBER 2)(EG, DRUG METABOLISM) GENE ANALYSIS, COMMON VARIANTS (IE, *1F, *1K, *6, *7)",,,,,
00320,Anesthesiology,Anesthesia,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX,TRACHEA AND LYMPHATIC SYSTEM OF NECK; NOT OTHERWISE SPECIFIED, AGE 1 YEAR OR OLDER",,,,,
00322,Anesthesiology,Anesthesia,"ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS, THYROID, LARYNX,TRACHEA AND LYMPHATIC SYSTEM OF NECK; NEEDLE BIOPSY OF THYROID",,,,,
00326,Anesthesiology,Anesthesia,ANESTHESIA FOR ALL PROCEDURES ON THE LARYNX AND TRACHEA IN CHILDREN LESS THAN 1 YEAR OF AGE,,,,,
0032A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0032T,Obstetrics/Gynecology,OB/GYN,SPECULOSCOPY; WITH DIRECTED SAMPLING (CPT CATEGORY III CODE),,,,,
0032U,Lab ,Advanced Laboratory Services,"COMT (CATECHOL-O-METHYLTRANSFERASE)(DRUG METABOLISM) GENE ANALYSIS, C.472G>A (RS4680) VARIANT",,,,,
0033A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0033T,Cardiology,Cardiac Procedures,"(CODE DELETED IN 2006. FOR ENDOVASCULAR REPAIR OF DESCENDINGTHORACIC AORTA, INVOLVING COVERAGE OF LEFT SUBCLAVIAN ARTERYORIGIN, USE 33880) ENDOVASCULAR REPAIR OF DESCENDING THORACIC AORTIC ANEURYSM, PSEUDOANEURYSM OR DISSECTION; INVOLVING C",,,,,
0033U,Lab ,Advanced Laboratory Services,"HTR2A (5-HYDROXYTRYPTAMINE RECEPTOR 2A), HTR2C (5-HYDROXYTRYPTAMINE RECEPTOR 2C) (EG, CITALOPRAM METABOLISM) GENE ANALYSIS, COMMON VARIANTS (IE, HTR2A RS7997012 [C.614-2211T>C], HTR2C RS3813929 [C.-759C>T] AND RS1414334 [C.551-3008C>G])",,,,,
0034A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0034T,Vascular Surgery,Vascular Surgery,"ENDOVASCULAR REPAIR OF DESCENDING THORACIC AORTIC ANEURYSM, PSEUDOANEURYSM OR DISSECTION; NOT INVOLVING COVERAGE OF LEFTSUBCLAVIAN ARTERY ORIGIN, INITIAL ENDOPROSTHESIS (CPT CATEGORY III CODE)",,,,,
0034U,Lab ,Advanced Laboratory Services,"TPMT (THIOPURINE S-METHYLTRANSFERASE), NUDT15 (NUDIX HYDROXYLASE 15)(EG, THIOPURINE METABOLISM) GENE ANALYSIS, COMMON VARIANTS (IE, TPMT *2, *3A, *3B, *3C, *4, *5, *6, *8, *12; NUDT15 *3, *4, *5)",,,,,
00350,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; NOT OTHERWISE SPECIFIED,,,,,
00352,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON MAJOR VESSELS OF NECK; SIMPLE LIGATION,,,,,
0035T,Cardiology,Cardiac Procedures,"(CODE DELETED IN 2006. FOR PROXIMAL EXTENSION DURING ENDOVASCULAR REPAIR OF DESCENDING THORACIC AORTA, USE 33883.DISTAL EXTENSIONS ARE INCLUDED IN 33880, 33881. DISTAL EXTENSIONS PERFORMED AFTER ENDOVASCULAR REPAIR OF DESCENDINGTHORACIC AOR",,,,,
0035U,Lab ,Advanced Laboratory Services,"NEUROLOGY (PRION DISEASE), CEREBROSPINAL FLUID, DETECTION OF PRION PROTEIN BY QUAKING-INDUCED CONFORMATIONAL CONVERSION, QUALITATIVE",,,,,
0036T,Cardiology,Cardiac Procedures,"(CODE DELETED IN 2006. FOR ADDITIONAL PROXIMAL EXTENSIONS USE 33884. ADDITIONAL DISTAL EXTENSIONS DURING ENDOVASCULAR REPAIR OF DESCENDING THORACIC AORTA ARE INCLUDED IN 33880, 33881. ADDITIONAL DISTAL EXTENSIONS PLACED AFTER ENDOVASCULAR R",,,,,
0036U,Lab ,Advanced Laboratory Services,"EXOME (IE, SOMATIC MUTATIONS), PAIRED FORMALIN-FIXED PARAFFIN-EMBEDDED TUMOR TISSUE AND NORMAL SPECIMEN, SEQUENCE ANALYSES",,,,,
0037T,Cardiology,Cardiac Procedures,"OPEN SUBCLAVIAN TO CAROTID ARTERY TRANSPOSITION PERFORMED INCONJUNCTION WITH ENDOVASCULAR THORACIC ANEURYSM REPAIR, BY NECK INCISION, UNILATERAL (CPT CATEGORY III CODE)",,,,,
0037U,Lab ,Advanced Laboratory Services,"TARGETED GENOMIC SEQUENCE ANALYSIS, SOLID ORGAN NEOPLASM, DNA ANALYSIS OF 324 GENES, INTERROGATION FOR SEQUENCE VARIANTS, GENE COPY NUMBER AMPLIFICATIONS, GENE REARRANGEMENTS, MICROSATELLITE INSTABILITY AND TUMOR MUTATIONAL BURDEN",,,,,
0038T,Vascular Surgery,Vascular Surgery,"ENDOVASCULAR REPAIR OF DESCENDING THORACIC AORTIC ANEURYSM, PSEUDOANEURYSM OR DISSECTION INVOLVING COVERAGE OF LEFT SUBCLAVIAN ARTERY ORIGIN, INTIAL ENDOPROSTHESIS, RADIOLOGICAL SUPERVISION AND INTERPRETATION (CPT CATEGORY III CODE)",,,,,
0038U,Lab ,Routine Lab and Pathology Services,"VITAMIN D, 25 HYDROXY D2 AND D3, BY LC-MS/MS, SERUM MICROSAMPLE, QUANTITATIVE",,,,,
0039T,Cardiology,Cardiac Procedures,"(CODE DELETED IN 2006. FOR ENDOVASCULAR REPAIR OF DESCENDINGTHORACIC AORTA, NOT INVOLVING COVERAGE OF LEFT SUBCLAVIAN ARTERY ORIGIN, RADIOLOGICAL SUPERVISION AND INTERPRETATION, USE 75957) ENDOVASCULAR REPAIR OF DESCENDING THORACIC AORTICAN",,,,,
0039U,Lab ,Routine Lab and Pathology Services,"DEOXYRIBONUCLEIC ACID (DNA) ANTIBODY, DOUBLE STRANDED, HIGH AVIDITY",,,,,
00400,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THEEXTREMITIES, ANTERIOR TRUNK AND PERINEUM; NOT OTHERWISE SPECIFIED",,,,,
00402,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THEEXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RECONSTRUCTIVE PROCEDURES ON BREAST (EG, REDUCTION OR AUGMENTATION MAMMOPLASTY, MUSCLE FLAPS)",,,,,
00404,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THEEXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST",,,,,
00406,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THEEXTREMITIES, ANTERIOR TRUNK AND PERINEUM; RADICAL OR MODIFIED RADICAL PROCEDURES ON BREAST WITH INTERNAL MAMMARY NODE DISSECTION",,,,,
0040T,Cardiology,Cardiac Procedures,"PLACEMENT OF PROXIMAL OR DISTAL EXTENSION PROSTHESIS FOR ENDOVASCULAR REPAIR OF DESCENDING THORACIC AORTIC ANEURYSM, PSEUDOANEURYSM OR DISSECTION, EACH EXTENSION, RADIOLOGICAL SUPERVISION AND INTERPRETATION (CPT CATEGORY III CODE)",,,,,
0040U,Lab ,Advanced Laboratory Services,"BCR/ABL1 (T(9;22)) (EG, CHRONIC MYELOGENOUS LEUKEMIA) TRANSLOCATION ANALYSIS, MAJOR BREAKPOINT, QUANTITATIVE",,,,,
00410,Anesthesiology,Anesthesia,"ANESTHESIA FOR PROCEDURES ON THE INTEGUMENTARY SYSTEM ON THEEXTREMITIES, ANTERIOR TRUNK AND PERINEUM; ELECTRICAL CONVERSION OF ARRHYTHMIAS",,,,,
0041A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0041T,Lab ,Routine Lab and Pathology Services,"URINALYSIS INFECTIOUS AGENT DETECTION, SEMI-QUANTITATIVE ANALYSIS OF VOLATILE COMPOUNDS (CPT CATEGORY III CODE)",,,,,
0041U,Lab ,Routine Lab and Pathology Services,"BORRELIA BURGDORFERI, ANTIBODY DETECTION OF 5 RECOMBINANT PROTEIN GROUPS, BY IMMUNOBLOT, IGM",,,,,
00420,Lab ,Routine Lab and Pathology Services,"(CODE DELETED IN 2000. TO REPORT, USE 00300) ANESTHESIA FOR PROCEDURES ON POSTERIOR INTEGUMENTARY SYSTEM OF CHEST, INCLUDING SUBCUTANEOUS TISSUE",,,,,
0042A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, RECOMBINANT SPIKE PROTEIN NANOPARTICLE, SAPONIN-BASED ADJUVANT, PRESERVATIVE FREE, 5 MCG/0.5ML",,,,,
0042T,Imaging Center (Radiology),CT Scan,"CEREBRAL PERFUSION ANALYSIS USING COMPUTED TOMOGRAPHY WITH CONTRAST ADMINISTRATION, INCLUDING POST-PROCESSING OF PARAMETRIC MAPS WITH DETERMINATION OF CEREBRAL BLOOD FLOW, CEREBRAL BLOOD VOLUME, AND MEAN TRANSIT TIME (CPT CATEGORY III CODE)",,,,,
0042U,Lab ,Routine Lab and Pathology Services,"BORRELIA BURGDORFERI, ANTIBODY DETECTION OF 12 RECOMBINANT PROTEIN GROUPS, BY IMMUNOBLOT, IGG",,,,,
0043A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0043T,Lab ,Routine Lab and Pathology Services,"CARBON MONOXIDE, EXPIRED GAS ANALYSIS (EG, ETCOC/HEMOLYSIS BREATH TEST) (CPT CATEGORY III CODE)",,,,,
0043U,Lab ,Routine Lab and Pathology Services,"TICK-BORNE RELAPSING FEVER BORRELIA GROUP, ANTIBODY DETECTION TO 4 RECOMBINANT PROTEIN GROUPS, BY IMMUNOBLOT, IGM",,,,,
0044A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0044T,Dermatology,Dermatology,"WHOLE BODY INTEGUMENTARY PHOTOGRAPHY, AT REQUEST OF A PHYSICIAN, FOR MONITORING OF HIGH-RISK PATIENTS WITH DYSPLASTIC NEVUS SYNDROME OR FAMILIAL MELANOMA",,,,,
0044U,Lab ,Routine Lab and Pathology Services,"TICK-BORNE RELAPSING FEVER BORRELIA GROUP, ANTIBODY DETECTION TO 4 RECOMBINANT PROTEIN GROUPS, BY IMMUNOBLOT, IGG",,,,,
00450,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; NOT OTHERWISE SPECIFIED,,,,,
00452,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; RADICAL SURGERY,,,,,
00454,Anesthesiology,Anesthesia,ANESTHESIA FOR PROCEDURES ON CLAVICLE AND SCAPULA; BIOPSY OFCLAVICLE,,,,,
0045T,Dermatology,Dermatology,"WHOLE BODY INTEGUMENTARY PHOTOGRAPHY, AT REQUEST OF A PHYSICIAN, FOR MONITORING OF HIGH-RISK PATIENTS; WITH HISTORY OF DYSPLASTIC NEVI OR PERSONAL HISTORY OF MELANOMA (CPT CATEGORY III CODE)",,,,,
0045U,Lab ,Advanced Laboratory Services,"ONCOLOGY (BREAST DUCTAL CARCINOMA IN SITU), MRNA, GENE EXPRESSION PROFILING BY REAL-TIME RT-PCR OF 12 GENES (7 CONTENT AND 5 HOUSEKEEPING), UTILIZING FORMALIN-FIXED PARAFFIN-EMBEDDED TISSUE, ALGORITHM REPORTED AS RECURRENCE SCORE",,,,,
0046T,Lab ,Routine Lab and Pathology Services,"CATHETER LAVAGE OF A MAMMARY DUCT(S) FOR COLLECTION OF CYTOLOGY SPECIMEN(S), IN HIGH RISK INDIVIDUALS (GAIL RISK SCORING OR PRIOR PERSONAL HISTORY OF BREAST CANCER), EACH BREAST; SINGLE DUCT (CPT CATEGORY III CODE)",,,,,
0046U,Lab ,Advanced Laboratory Services,"FLT3 (FMS-RELATED TYROSINE KINASE 3) (EG, ACUTE MYELOID LEUKEMIA) INTERNAL TANDEM DUPLICATION (ITD) VARIANTS, QUANTITATIVE",,,,,
00470,Anesthesiology,Anesthesia,ANESTHESIA FOR PARTIAL RIB RESECTION; NOT OTHERWISE SPECIFIED,,,,,
00472,Anesthesiology,Anesthesia,ANESTHESIA FOR PARTIAL RIB RESECTION; THORACOPLASTY (ANY TYPE),,,,,
00474,Anesthesiology,Anesthesia,"ANESTHESIA FOR PARTIAL RIB RESECTION; RADICAL PROCEDURES (EG, PECTUS EXCAVATUM)",,,,,
0047T,Lab ,Routine Lab and Pathology Services,"(CODE DELETED IN 2009. FOR MAMMARY DUCT{S} CATHETER LAVAGE, USE 19499) CATHETER LAVAGE OF A MAMMARY DUCT(S) FOR COLLECTION OF CYTOLOGY SPECIMEN(S), IN HIGH RISK INDIVIDUALS(GAIL RISK SCORING OR PRIOR PERSONAL HISTORY OF BREAST CANCER), EACH",,,,,
0047U,Lab ,Advanced Laboratory Services,"ONCOLOGY (PROSTATE), MRNA, GENE EXPRESSION PROFILING BY REAL-TIME RT-PCR OF 17 GENES (12 CONTENT AND 5 HOUSEKEEPING), UTILIZING FORMALIN-FIXED PARAFFIN-EMBEDDED TISSUE, ALGORITHM REPORTED AS A RISK SCORE",,,,,
0048T,Cardiology,Cardiac Procedures,"IMPLANTATION OF A VENTRICULAR ASSIST DEVICE, EXTRACORPOREAL,PERCUTANEOUS TRANSSEPTAL ACCESS, SINGLE OR DUAL CANNULATION (CPT CATEGORY III CODE)",,,,,
0048U,Lab ,Advanced Laboratory Services,"ONCOLOGY (SOLID ORGAN NEOPLASIA), DNA, TARGETED SEQUENCING OF PROTEIN-CODING EXONS OF 468 CANCER-ASSOCIATED GENES, INCLUDING INTERROGATION FOR SOMATIC MUTATIONS AND MICROSATELLITE INSTABILITY, MATCHED WITH NORMAL SPECIMENS, UTILIZING FORMALIN-FIXED PARAFF",,,,,
0049T,Cardiology,Cardiac Procedures,"PROLONGED EXTRACORPOREAL PERCUTANEOUS TRANSSEPTAL VENTRICULAR ASSIST DEVICE, GREATER THAN 24 HOURS, EACH SUBSEQUENT 24 HOUR PERIOD (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE) (CPT CATEGORY III CODE)",,,,,
0049U,Lab ,Advanced Laboratory Services,"NPM1 (NUCLEOPHOSMIN) (EG, ACUTE MYELOID LEUKEMIA) GENE ANALYSIS, QUANTITATIVE",,,,,
00500,Anesthesiology,Anesthesia,ANESTHESIA FOR ALL PROCEDURES ON ESOPHAGUS,,,,,
0050T,Cardiology,Cardiac Procedures,"REMOVAL OF A VENTRICULAR ASSIST DEVICE, EXTRACORPOREAL, PERCUTANEOUS TRANSSEPTAL ACCESS, SINGLE OR DUAL CANNULATION (CATEGORY III CODE) (CPT CATEGORY III CODE)",,,,,
0050U,Lab ,Advanced Laboratory Services,"TARGETED GENOMIC SEQUENCE ANALYSIS PANEL, ACUTE MYELOGENOUS LEUKEMIA, DNA ANALYSIS, 194 GENES, INTERROGATION FOR SEQUENCE VARIANTS, COPY NUMBER VARIANTS OR REARRANGEMENTS",,,,,
0051A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3 ML DOSAGE, TRIS-SUCROSE FORMULATION; FI",,,,,
0051T,Cardiology,Cardiac Procedures,IMPLANTATION OF A TOTAL REPLACEMENT HEART SYSTEM (ARTIFICIALHEART) WITH RECIPIENT CARDIECTOMY (CATEGORY III CODE) (CPT CATEGORY III CODE),,,,,
0051U,Lab ,Routine Lab and Pathology Services,"PRESCRIPTION DRUG MONITORING, EVALUATION OF DRUGS PRESENT BY LC-MS/MS, URINE, 31 DRUG PANEL, REPORTED AS QUANTITATIVE RESULTS, DETECTED OR NOT DETECTED, PER DATE OF SERVICE",,,,,
00520,Anesthesiology,Anesthesia,ANESTHESIA FOR CLOSED CHEST PROCEDURES; (INCLUDING BRONCHOSCOPY) NOT OTHERWISE SPECIFIED,,,,,
00522,Anesthesiology,Anesthesia,ANESTHESIA FOR CLOSED CHEST PROCEDURES; NEEDLE BIOPSY OF PLEURA,,,,,
00524,Anesthesiology,Anesthesia,ANESTHESIA FOR CLOSED CHEST PROCEDURES; PNEUMOCENTESIS,,,,,
00526,Anesthesiology,Anesthesia,"(CODE DELETED IN 1987.) ANESTHESIA FOR CLOSED CHEST PROCEDURES (INCLUDING ESOPHAGOSCOPY, BRONCHOSCOPY, TRANSVENOUS PACEMAKER); THORACOSCOPY",,,,,
00528,Anesthesiology,Anesthesia,ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY,,,,,
00529,Anesthesiology,Anesthesia,ANESTHESIA FOR CLOSED CHEST PROCEDURES; MEDIASTINOSCOPY AND DIAGNOSTIC THORACOSCOPY UTILIZING ONE LUNG VENTILATION,,,,,
0052A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3 ML DOSAGE, TRIS-SUCROSE FORMULATION; SE",,,,,
0052T,Cardiology,Cardiac Procedures,REPLACEMENT OR REPAIR OF THORACIC UNIT OF A TOTAL REPLACEMENT HEART SYSTEM (ARTIFICIAL HEART) (CATEGORY III CODE) (CPT CATEGORY III CODE),,,,,
0052U,Lab ,Routine Lab and Pathology Services,"LIPOPROTEIN, BLOOD, HIGH RESOLUTION FRACTIONATION AND QUANTITATION OF LIPOPROTEINS, INCLUDING ALL FIVE MAJOR LIPOPROTEIN CLASSES AND SUBCLASSES OF HDL, LDL, AND VLDL BY VERTICAL AUTO PROFILE ULTRACENTRIFUGATION",,,,,
00530,Anesthesiology,Anesthesia,ANESTHESIA FOR PERMANENT TRANSVENOUS PACEMAKER INSERTION,,,,,
00532,Anesthesiology,Anesthesia,ANESTHESIA FOR ACCESS TO CENTRAL VENOUS CIRCULATION,,,,,
00534,Anesthesiology,Anesthesia,ANESTHESIA FOR TRANSVENOUS INSERTION OR REPLACEMENT OF PACING CARDIOVERTER-DEFIBRILLATOR,,,,,
00537,Anesthesiology,Anesthesia,ANESTHESIA FOR CARDIAC ELECTROPHYSIOLOGIC PROCEDURES INCLUDING RADIOFREQUENCY ABLATION,,,,,
00539,Anesthesiology,Anesthesia,ANESTHESIA FOR TRACHEOBRONCHIAL RECONSTRUCTION,,,,,
0053A,Family Practice,General Procedures,PLACEHOLDER ONLY,,,,,
0053T,Cardiology,Cardiac Procedures,REPLACEMENT OR REPAIR OF IMPLANTABLE COMPONENT OR COMPONENTSOF TOTAL REPLACEMENT HEART SYSTEM (ARTIFICIAL HEART) EXCLUDING THORACIC UNIT (CATEGORY III CODE) (CPT CATEGORY III CODE),,,,,
0053U,Lab ,Advanced Laboratory Services,"ONCOLOGY (PROSTATE CANCER), FISH ANALYSIS OF 4 GENES (ASAP1, HDAC9, CHD1 AND PTEN), NEEDLE BIOPSY SPECIMEN, ALGORITHM REPORTED AS PROBABILITY OF HIGHER TUMOR GRADE",,,,,
00540,Anesthesiology,Anesthesia,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); NOT OTHERWISE SPECIFIED",,,,,
00541,Anesthesiology,Anesthesia,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); UTILIZING ONE LUNG VENTILATION",,,,,
00542,Anesthesiology,Anesthesia,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); DECORTICATION",,,,,
00544,Anesthesiology,Anesthesia,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); PLEURECTOMY",,,,,
00546,Anesthesiology,Anesthesia,"ANESTHESIA FOR THORACOTOMY PROCEDURES INVOLVING LUNGS, PLEURA, DIAPHRAGM, AND MEDIASTINUM (INCLUDING SURGICAL THORACOSCOPY); PULMONARY RESECTION WITH THORACOPLASTY",,,,,
